Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Reviews,Orgin,Brand
"Orion O!Karto Original Potato Chips, Cheese Flavor 115 g",https://www.sayweee.com/en/product/Orion-O-Karto-Original-Potato-Chips--Cheese-Flavor/88809,$3.99 ,50+ Sold,$0.03/g,"Orion O!Karto Original Potato Chips, Cheese Flavor",-41,South Korea,
Finest Thai Gourmet Fried Shrimp Crackers 100 g,https://www.sayweee.com/en/product/Finest-Thai-Gourmet-Fried-Shrimp-Crackers/69501,$3.89 ,50+ Sold,$0.03/g,Finest Thai Gourmet Fried Shrimp Crackers,-9,Thailand,
"Lay's Yam Chips, Cucumber Flavor 80 g",https://www.sayweee.com/en/product/Lay-s-Yam-Chips--Cucumber-Flavor/3346,$2.49 ,300+ Sold,$0.03/g,"Lay's Yam Chips, Cucumber Flavor",-165,Mainland China,Lay's
Calbee Jagabee Chips Lightly Salted 3.18 oz,https://www.sayweee.com/en/product/Calbee-Jagabee-Chips-Lightly-Salted/34579,$3.49 ,200+ Sold,$1.09/oz,Calbee Jagabee Chips Lightly Salted,-40,Japan,Calbee
Calbee Kettle Chips Lightly Salted 5.29 oz,https://www.sayweee.com/en/product/Calbee-Kettle-Chips-Lightly-Salted/23506,$3.99 ,100+ Sold,$0.75/oz,Calbee Kettle Chips Lightly Salted,-6,Japan,Calbee
"Bestore Egg Yolk Rice Crust, Crab Flavor 75 g",https://www.sayweee.com/en/product/Bestore-Egg-Yolk-Rice-Crust-Crab-Flavor/71733,$2.19 ,400+ Sold,,"Bestore Egg Yolk Rice Crust, Crab Flavor",-27,Mainland China,BESTORE
Lay's Max BBQ Prik Zab Zeed 1.68 oz,https://www.sayweee.com/en/product/Lay-s-Max-BBQ-Prik-Zab-Zeed/40623,$2.19 ,200+ Sold,$1.30/oz,Lay's Max BBQ Prik Zab Zeed,-5,Thailand,Lay's
"Baby Star Ramen Big Pack, Artificial Tonkotsu Flavor 5.99 oz",https://www.sayweee.com/en/product/Baby-Star-Ramen-Big-Pack--Artificial-Tonkotsu-Flavor/19491,$4.99 ,100+ Sold,$0.83/oz,"Baby Star Ramen Big Pack, Artificial Tonkotsu Flavor",-9,Taiwan,
"Panpan Wheat Crunch Snack, Spicy Chicken Flavor 105 g",https://www.sayweee.com/en/product/Panpan-Wheat-Crunch-Snack--Spicy-Chicken-Flavor/48622,$1.99 ,300+ Sold,,"Panpan Wheat Crunch Snack, Spicy Chicken Flavor",-38,Mainland China,
Oishi Tomato Potato Chips 50 g,https://www.sayweee.com/en/product/Oishi-Tomato-Potato-Chips/3788,$1.69 ,200+ Sold,$0.03/g,Oishi Tomato Potato Chips,-27,Mainland China,OISHI
Crown Jollypong Cereal Snack 168 g,https://www.sayweee.com/en/product/Crown-Jollypong-Cereal-Snack/99445,$3.49 ,100+ Sold,,Crown Jollypong Cereal Snack,-26,South Korea,
"Potato Chips, Oyster Omelet Flavor 43 g",https://www.sayweee.com/en/product/Potato-Chips--Oyster-Omelet-Flavor/77112,$2.99 ,200+ Sold,$0.06/g,"Potato Chips, Oyster Omelet Flavor",-57,Taiwan,
Liouciou Fu Wei Handmade Brown Sugar Twisted Roll 200 g,https://www.sayweee.com/en/product/Liouciou-Fu-Wei-Handmade-Brown-Sugar-Twisted-Roll/74987,$3.89 ,200+ Sold,,Liouciou Fu Wei Handmade Brown Sugar Twisted Roll,-46,Taiwan,LIOUCIOU FU WEI
Three Squirrels Rice Crust Snack  60 g,https://www.sayweee.com/en/product/Three-Squirrels-Rice-Crust-Snack-/70315,$1.99 ,300+ Sold,$0.03/g,Three Squirrels Rice Crust Snack,-39,Mainland China,THREE SQUIRRELS
"HY Cuttlefish Crackers, Original 60 g",https://www.sayweee.com/en/product/HY-Cuttlefish-Crackers--Original/4797,$2.29 ,"100+ Sold,10 Left",$0.03/g,"HY Cuttlefish Crackers, Original",-46,Taiwan,HUAYUAN
"Aishang Mimi Chips, Shrimp Flavor 800 g",https://www.sayweee.com/en/product/Aishang-Mimi-Chips-Shrimp-Flavor/99465,$6.49 ,200+ Sold,,"Aishang Mimi Chips, Shrimp Flavor",-186,Mainland China,AISHANG
Baby Star Ramen Big Pack Artificial Spicy Flavor 165 g,https://www.sayweee.com/en/product/Baby-Star-Ramen-Big-Pack-Artificial-Spicy-Flavor/18978,$4.99 ,100+ Sold,$0.03/g,Baby Star Ramen Big Pack Artificial Spicy Flavor,-4,Taiwan,
"Crusty's Salmon Fish Skin Chips, Spicy Mala Flavor 100 g",https://www.sayweee.com/en/product/Crustys-Salmon-Fish-Skin-Chips-Spicy-Mala-Flavor/69386,$7.59 ,50+ Sold,$0.07/g,"Crusty's Salmon Fish Skin Chips, Spicy Mala Flavor",-16,Singapore,Crusty's
"Pea Crackers, Sour Cream and Onion Flavor  57 g",https://www.sayweee.com/en/product/Pea-Crackers--Sour-Cream-and-Onion-Flavor-/88943,$2.99 ,100+ Sold,$0.05/g,"Pea Crackers, Sour Cream and Onion Flavor",-19,United States,LIANHWA
Nongshim Shrimp Cracker Spicy Flavor  75 g,https://www.sayweee.com/en/product/Nongshim-Shrimp-Cracker-Spicy-Flavor-/29341,$1.69 ,300+ Sold,,Nongshim Shrimp Cracker Spicy Flavor,-3,South Korea,Nongshim
Crown Caramel Corn and Peanut Snack 72 g,https://www.sayweee.com/en/product/Crown-Caramel-Corn-and-Peanut-Snack/99446,$1.39 ,400+ Sold,,Crown Caramel Corn and Peanut Snack,-25,South Korea,
"Umaibo Baked Corn Snack, Cheese Flavor 30pcs 6.3 oz",https://www.sayweee.com/en/product/Umaibo-Baked-Corn-Snack--Cheese-Flavor-30pcs/44633,$5.99 ,"600+ Sold,1 Left",$0.95/oz,"Umaibo Baked Corn Snack, Cheese Flavor 30pcs",-1,Japan,
"Pringles Potato Crisp Chips, Sour Cream and Onion 5.5 oz",https://www.sayweee.com/en/product/Pringles-Potato-Crisp-Chips--Sour-Cream-and-Onion/84235,$2.19 ,200+ Sold,$0.39/oz,"Pringles Potato Crisp Chips, Sour Cream and Onion",,United States,
Irvins Spicy Salted Egg Salmon Skin 3.7 oz,https://www.sayweee.com/en/product/Irvins-Spicy-Salted-Egg-Salmon-Skin/34331,$9.99 ,200+ Sold,$2.70/oz,Irvins Spicy Salted Egg Salmon Skin,-1,Singapore,IRVINS
