Title,Title_link,Thumbnail,brand-title,price-sup,comment-star__count,Price,brand-variants,Headline,Field1,Field2,Field3
Shrimp&Chips,https://www.yamibuy.com/en/p/shrimp-chips/1149012721,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTTOGI,,,$7.99,,Shrimp&Chips,Be the first!,Korea,
Rice Chips 280g,https://www.yamibuy.com/en/p/rice-chips-280g/1017045631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,kaqi,Buy $150 get 1 free gift,,,,Rice Chips 280g,Be the first!,China,
Chinese Style Chips Cumin Flavor 188g,https://www.yamibuy.com/en/p/chinese-style-chips-cumin-flavor-188g/1017040221,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIANGWANGFEI,Buy $150 get 1 free gift,4,$2.99,,Chinese Style Chips Cumin Flavor 188g,4,China,4.8
Thin-cut Potato Chips (Spicy Flavor) 205g,https://www.yamibuy.com/en/p/bestore-thin-cut-potato-chips-spicy-flavor-205g/1147005991,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BESTORE,,,$3.79,,Thin-cut Potato Chips (Spicy Flavor) 205g,18,China,4.5
"Instant Barbecue Snacks Potatoes Spicy Potato Chips Convenient Instant Lazy Food, 328g",https://www.yamibuy.com/en/p/yumei-fried-potato-328g/1021071121,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,,,$5.99,,"Instant Barbecue Snacks Potatoes Spicy Potato Chips Convenient Instant Lazy Food, 328g",286,China,4.4
Honey Butter Chip 60g,https://www.yamibuy.com/en/p/haitai-honey-butter-chip-60g/1017004481,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,Buy $150 get 1 free gift,1213,$2.19,4 Options,Honey Butter Chip 60g,1215,Korea,4.7
PANPAN Wheat Crunch Chicken Flavor 105g,https://www.yamibuy.com/en/p/panpan-wheat-crunch-chicken-flavor-105g/1017008261,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASIA FOODS,Buy $150 get 1 free gift,270,,8 Options,PANPAN Wheat Crunch Chicken Flavor 105g,272,China,4.8
GGE BBQ Cube Wheat Cracker 80g,https://www.yamibuy.com/en/p/weilih-good-good-eat-bbq-cube-wheat-cracker-80g-random-delivery-of-2-packaging/1017000211,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,Buy $150 get 1 free gift,400,$1.89,9 Options,GGE BBQ Cube Wheat Cracker 80g,401,Taiwan,4.6
Soybean Snacks 360g,https://www.yamibuy.com/en/p/mini-la-tiao-soybean-snacks-360g/1017041441,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILONG,Buy $150 get 1 free gift,10,$6.49,,Soybean Snacks 360g,10,China,4.8
Energy 99 Rice Roll Egg Yolk Flavor 180g,https://www.yamibuy.com/en/p/pei-tien-energy-99-rice-roll-egg-yolk-flavor-180g/1017000171,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Pei Tien,Buy $150 get 1 free gift,478,$2.59,4 Options,Energy 99 Rice Roll Egg Yolk Flavor 180g,481,Taiwan,4.8
GGE Seaweed Cracker 80g,https://www.yamibuy.com/en/p/weilih-good-good-eat-seaweed-cracker-80g-random-delivery-of-2-packaging/1017000251,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,Buy $150 get 1 free gift,192,$1.89,9 Options,GGE Seaweed Cracker 80g,192,Taiwan,4.6
Spicy Rice Cake Sticks Snack 230g,https://www.yamibuy.com/en/p/haitai-spicy-sindangdong-rice-cake-sticks-snack-230g/1017003341,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,Buy $150 get 1 free gift,301,$3.49,2 Options,Spicy Rice Cake Sticks Snack 230g,302,Korea,4.5
CALBEE MY POTE GARLIC HERB BUTTR 60g,https://www.yamibuy.com/en/p/calbee-my-pote-garlic-herb-buttr-60g/1017042901,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,Buy 3 get 1 free gift,18,$1.49,,CALBEE MY POTE GARLIC HERB BUTTR 60g,18,Japan,4.4
GGE Baked Rice Snack Chocolate Flavor 45g,https://www.yamibuy.com/en/p/weilih-gge-baked-rice-snack-chocolate-flavor-45g/1017000261,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,Buy $150 get 1 free gift,200,$1.89,,GGE Baked Rice Snack Chocolate Flavor 45g,200,Taiwan,4.7
PANPAN Wheat Crunch Spicy Chicken Flavor 105g,https://www.yamibuy.com/en/p/panpan-wheat-crunch-spicy-chicken-flavor-105g/1017008301,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASIA FOODS,Buy $150 get 1 free gift,161,$1.89,8 Options,PANPAN Wheat Crunch Spicy Chicken Flavor 105g,162,China,4.7
Stax Original Flavor 90g,https://www.yamibuy.com/en/p/stax-original-flavor-90g/1017044411,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,,$3.29,,Stax Original Flavor 90g,Be the first!,China,
GGE Soy Sauce Ramen Wheat Cracker 80g,https://www.yamibuy.com/en/p/weilih-good-good-eat-soy-sauce-ramen-wheat-cracker-80g-random-delivery-of-2-packaging/1017000221,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,Buy $150 get 1 free gift,135,$1.89,9 Options,GGE Soy Sauce Ramen Wheat Cracker 80g,135,Taiwan,4.7
【Editor's Pick】Hot Snacks,https://www.yamibuy.com/en/p/editor-s-pick-hot-snacks/1017044421,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,Buy $150 get 1 free gift,,,,【Editor's Pick】Hot Snacks,Be the first!,Japan,
Turtle Chip Choco Churos Flavor 160g,https://www.yamibuy.com/en/p/turtle-chip-choco-churos-flavor-160g/1017042561,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ORION,Buy $150 get 1 free gift,4,$4.39,,Turtle Chip Choco Churos Flavor 160g,4,Korea,4.8
