Title,Title_link,Thumbnail,brand-title,brand-variants,comment-star__count,Price,Headline,Field1,Field2,Field3,Field4
Japanese Mochi Taro Flavour 152g,https://www.yamibuy.com/en/p/japanese-mochi-taro-flavour-152g/3016090541,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,,Japanese Mochi Taro Flavour 152g,Be the first!,Taiwan,Taiwan,
Fruit Mochi Peach Flavor 132g,https://www.yamibuy.com/en/p/royal-family-fruit-mochi-peach-flavor-132g/3016073531,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,$8.99,Fruit Mochi Peach Flavor 132g,Be the first!,Taiwan,,
New Year Japanese Tea Eto Sencha Tea Bag Tiger Limited Edition,https://www.yamibuy.com/en/p/2g-8-3g-10/1020063611,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Fukujoen,,,$39.99,New Year Japanese Tea Eto Sencha Tea Bag Tiger Limited Edition,Be the first!,Japan,,
Meijin Cheese Mochi 66g,https://www.yamibuy.com/en/p/meijin-cheese-mochi-66g/1016091061,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUNWARI,2 Options,35,$5.29,Meijin Cheese Mochi 66g,35,Japan,Cheese Flavor,4.6
【Hnamatsuri Limited Edition】Mochi Candy Gift Bag 70g,https://www.yamibuy.com/en/p/hinamatsuri-girls-candy-bag-70g/1018047871,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HANANOYA,,,$10.49,【Hnamatsuri Limited Edition】Mochi Candy Gift Bag 70g,Be the first!,Japan,,
Mochi Ice Crean Matcha 240g,https://www.yamibuy.com/en/p/mochi-ice-crean-matcha-238g/1146142001,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,,1,,Mochi Ice Crean Matcha 240g,1,Japan,,4
Mochi Ice Cream Strawberry 240g,https://www.yamibuy.com/en/p/mochi-ice-cream-strawberry-238g/1146141971,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,,,$6.49,Mochi Ice Cream Strawberry 240g,Be the first!,Japan,,
【Frozen】Mochi Soybean Flavor 70pc,https://www.yamibuy.com/en/p/kinako-warabi-mochi-70pc/1149011851,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HIRAHACHI,,1,$16.99,【Frozen】Mochi Soybean Flavor 70pc,1,Japan,,5
Pineapple Cake 190g,https://www.yamibuy.com/en/p/hsufuchi-pineapple-flavor-sandwich-cookie-190g/1016013801,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HSUFUCHI,4 Options,528,$4.49,Pineapple Cake 190g,531,Taiwan,China,4.8
Chibi Maruko Spring Festival Pastry Gift Box 16 pcs 224g,https://www.yamibuy.com/en/p/tea-fruits-small-meatballs-new-year-s-journey-16-pieces-224g/1016095651,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Matchall,,39,,Chibi Maruko Spring Festival Pastry Gift Box 16 pcs 224g,39,China,,4.7
