Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,Headline,Field1,Field2
Butter Flavored Cake Bread 50g,https://www.yamibuy.com/en/p/butter-flavored-cake-bread-50g/1149011501,https://cdn.yamibuy.net/item/1996ee6e3d021cd8a21da8b881d33617_684x684.webp,D-PLUS,12,$1.49,,Butter Flavored Cake Bread 50g,4.6,Japan
【Frozen】Peking Leek Cake,https://www.yamibuy.com/en/p/frozen-peking-leek-cake/1149014801,https://cdn.yamibuy.net/item/dde5957a7279b3a27eb1da0189e22bce_684x684.webp,old town,1,$4.99,,【Frozen】Peking Leek Cake,3,China
Mung Bean Cake Brown Sugar Bubble Flavor 22g*9,https://www.yamibuy.com/en/p/mung-bean-cake-brown-sugar-bubble-flavor-22g-9/1016091651,https://cdn.yamibuy.net/item/fe05796ce9c6030e22c12e578e4f22f9_684x684.webp,Wholesome,,$21.99,,Mung Bean Cake Brown Sugar Bubble Flavor 22g*9,,Taiwan
Nuts Soft Flour Cake Brown Sugar Flv 384g TW,https://www.yamibuy.com/en/p/nuts-soft-flour-cake-brown-sugar-flv-384g-tw/1016098471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JJF,,$5.89,,Nuts Soft Flour Cake Brown Sugar Flv 384g TW,,Taiwan
"Soft Flour Cake, Brown Sugar Flavor 300g TW",https://www.yamibuy.com/en/p/soft-flour-cake-brown-sugar-flavor-300g-tw/1016098491,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JJF,,$2.99,,"Soft Flour Cake, Brown Sugar Flavor 300g TW",,Taiwan
Black Sugar Plum cake 50g,https://www.yamibuy.com/en/p/black-sugar-plum-cake-50g/1019065801,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,UME HOUSE,10,$4.59,,Black Sugar Plum cake 50g,4.9,China
WANG Rice Cake Soup 177g,https://www.yamibuy.com/en/p/wang-rice-cake-soup-177g/1021003531,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANG FOOD,70,$3.69,,WANG Rice Cake Soup 177g,4.5,Korea
Sun Cake 300g,https://www.yamibuy.com/en/p/sun-cake-300g/1016094321,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TACHIA MASTER,,$18.99,,Sun Cake 300g,,China
Robert's Cake Cheese Flavor 220g,https://www.yamibuy.com/en/p/huamei-robert-s-cake-cheese-flavour-220g/1016063211,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAMEI,52,$3.99,2 Options,Robert's Cake Cheese Flavor 220g,4.9,China
Milk Cake 210g,https://www.yamibuy.com/en/p/huame-milk-cake-210g-box/1016075881,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAMEI,10,,,Milk Cake 210g,4.8,China
Strawberry Flavor Chocolate Layer Cake,https://www.yamibuy.com/en/p/strawberry-flavor-chocolate-layer-cake/1016085371,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GAOLEGAO,12,$11.99,2 Options,Strawberry Flavor Chocolate Layer Cake,4.3,China
Precieux white chocolate Covered Lemon Cake 10pcs,https://www.yamibuy.com/en/p/precieux-white-chocolate-covered-lemon-cake-10pcs/1016090351,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHEN YUN PAO CHUAN,8,$26.99,,Precieux white chocolate Covered Lemon Cake 10pcs,4.6,Taiwan
Mini Roll Cake Chocolate Flavor 70g,https://www.yamibuy.com/en/p/mini-roll-cake-chocolate-flavor-70g/1016083281,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,7,$2.99,3 Options,Mini Roll Cake Chocolate Flavor 70g,4.6,Japan
Half Baked Lava Custard Cake 180g,https://www.yamibuy.com/en/p/half-baked-lava-custard-cake-180g/1016094021,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHIKODO,,$6.89,,Half Baked Lava Custard Cake 180g,,China
【Frozen】Brown Sugar Sticky Rice Cake 260g,https://www.yamibuy.com/en/p/brown-sugar-glutonous-rice-cake-260g/1150002681,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XKF,1,$3.69,,【Frozen】Brown Sugar Sticky Rice Cake 260g,5,China
FENGDAN Taiwanese Black Date And  Walnut Cake 220g,https://www.yamibuy.com/en/p/fengdan-taiwanese-black-date-and-walnut-cake-220g/1016026311,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FAVOR DESSERTS,24,$19.99,,FENGDAN Taiwanese Black Date And  Walnut Cake 220g,5,Taiwan
Yuzu Flavore Cake Bread 50g,https://www.yamibuy.com/en/p/yuzu-flavore-cake-bread-50g/1149011521,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,D-PLUS,10,$1.49,,Yuzu Flavore Cake Bread 50g,4.6,Japan
Lava Cake Durian Flavor 220g,https://www.yamibuy.com/en/p/durian-biscuit-220g/1016080601,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AJI,29,,3 Options,Lava Cake Durian Flavor 220g,4.7,China
Castella Japanese Style Baked Sponge Cheese Cake 7pcs 280g,https://www.yamibuy.com/en/p/imuraya-japanese-style-baked-sponge-cheese-cake-7pcs-280g/1016010031,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMURAYA,74,$6.99,4 Options,Castella Japanese Style Baked Sponge Cheese Cake 7pcs 280g,4.2,Japan
HSIN TUNG YANG Mung Bean Cake 15Pieces 150g,https://www.yamibuy.com/en/p/hsin-tung-yang-mung-bean-cake-15pieces-150g/1016009531,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HSINTUNGYANG,62,$6.89,,HSIN TUNG YANG Mung Bean Cake 15Pieces 150g,3.9,Taiwan
【Frozen】Rice Cake(Dukbokki)1.5lb,https://www.yamibuy.com/en/p/rice-cake-dukbokki-1-5lb/1146142021,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DAFENG,,$2.69,,【Frozen】Rice Cake(Dukbokki)1.5lb,,China
Sesame Flour Cake 360g,https://www.yamibuy.com/en/p/hsintungyang-sesame-flour-cake-360g/1016004791,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HSINTUNGYANG,25,$3.99,3 Options,Sesame Flour Cake 360g,3.6,Taiwan
Vegetarian Mung Bean Durian Cake 400g,https://www.yamibuy.com/en/p/vegetarian-mung-bean-durian-400g/1016097471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,3-MIEN,,$5.69,,Vegetarian Mung Bean Durian Cake 400g,,Vietnam
DXC Soft Flour Cake Brown Suger 454g,https://www.yamibuy.com/en/p/daoxiangcun-soft-flour-cake-brown-suger-454g/1016037631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,56,$7.49,3 Options,DXC Soft Flour Cake Brown Suger 454g,4.6,China
MEIHUASIANG Sticky Rice Cake 480g,https://www.yamibuy.com/en/p/meihuasiang-sticky-rice-cake-480g/1021019551,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEI HUA SIANG,8,$3.59,7 Options,MEIHUASIANG Sticky Rice Cake 480g,5,Taiwan
Pia Durian Cake Egg Yolk Mung Bean Flavor 400g,https://www.yamibuy.com/en/p/pia-cake-yolk-mung-bean-durianu-taro-mixed-3-mien-400g/1016089761,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,THIEN SA,8,$5.69,2 Options,Pia Durian Cake Egg Yolk Mung Bean Flavor 400g,4,Vietnam
"Soft Flour Cake, Egg Flavor 300g",https://www.yamibuy.com/en/p/soft-flour-cake-egg-flavor-300g/1016098481,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JJF,,$2.99,,"Soft Flour Cake, Egg Flavor 300g",,Taiwan
Original Faff Cake 64g,https://www.yamibuy.com/en/p/original-faff-cake-64g/1016098291,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KALUOKAMAN,,$1.69,,Original Faff Cake 64g,,China
Puffed Black Bean Rice Cake125g,https://www.yamibuy.com/en/p/puffed-black-bean-rice-cake-snack/1017029011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGHYUP,11,$3.69,2 Options,Puffed Black Bean Rice Cake125g,4.5,Korea
YUKI/LOVE BK Pineapple Cake 250g,https://www.yamibuy.com/en/p/yuki-love-bk-pineapple-cake-250g/1016004841,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,81,,,YUKI/LOVE BK Pineapple Cake 250g,3.7,Taiwan
Strawberry Cake 184g,https://www.yamibuy.com/en/p/royal-family-strawberry-cake-184g/1016005681,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,3,$2.99,4 Options,Strawberry Cake 184g,3.7,Taiwan
Japanese Plum Cake 80g,https://www.yamibuy.com/en/p/japanese-plum-cake-118g/1019073631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,yifen,2,$4.89,,Japanese Plum Cake 80g,5,China
Cake Flour 500g,https://www.yamibuy.com/en/p/sunlight-cake-flour-500g/1149002701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SUNLIGHT,18,,,Cake Flour 500g,4.8,Taiwan
Butter Cake 210g,https://www.yamibuy.com/en/p/huame-butter-cake-210g-box/1016075871,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAMEI,14,$4.59,,Butter Cake 210g,4.9,China
AOMORI ROUGEA Apple Pound Cake 8pc,https://www.yamibuy.com/en/p/aomori-rujua/1016093071,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SATO ARPAJON,,$34.99,,AOMORI ROUGEA Apple Pound Cake 8pc,,Japan
OH! YES Choco Cake 12pieces 336g,https://www.yamibuy.com/en/p/haitai-oh-yes-choco-cake-12pieces-336g/1016009291,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,66,$4.29,,OH! YES Choco Cake 12pieces 336g,4.5,Korea
