Title,Title_link,brand-title,comment-star__count,Price,brand-variants,DetailPrice,OriginalPrice,Field1,Field2,Field3,Field4
Cherry Blossom Coke Limited Edition 250ml,https://www.yamibuy.com/en/p/coca-cola-cherry-blossom-coke-limited-edition-250ml/1020027091,COCA COLA,65,,2 Options,$2.99,$3.99,65,Japan,United States,4.7
WONGLOKAT Black Herbal Tea 310ml,https://www.yamibuy.com/en/p/wonglokat-black-herbal-tea-310ml/1020030001,WANGLAOJI,83,$1.69,2 Options,,,83,China,China,4.7
Coke 500ml,https://www.yamibuy.com/en/p/laoshan-coke-500ml/1020039121,LAOSHAN,122,$1.49,,,,122,,China,4.6
Green Grape Flavor Drink 235ml,https://www.yamibuy.com/en/p/grapes-drinks-235ml/1020047641,BIOSTAR PORORO,6,$1.29,8 Options,,,6,Grape Flavor,Korea,5
Xiao Ming Lemon Tea 480ml,https://www.yamibuy.com/en/p/unif-xiao-ming-lemon-tea-480ml/1020007001,Unif,64,,5 Options,$1.59,$1.69,64,China,Taiwan,4.8
Antrodia Cinnamomea Functional Drink 350ml,https://www.yamibuy.com/en/p/antrodia-cinnamomea-functional-drink-350ml/1020051571,ETERNALCARE,3,$2.59,,,,3,,Taiwan,4.3
Light Drink Grapefruit 500ml,https://www.yamibuy.com/en/p/yili-group-light-drink-grapefruit-500ml/1020037001,Yili Group,65,$2.09,3 Options,,,65,Grapefruit,China,4.6
Jiangzhong jianxiao drink 400ml,https://www.yamibuy.com/en/p/jiangzhong-jianxiao-drink-400ml/1020053111,JZJT,36,$2.29,,,,36,,China,4.7
FOO Roasted Corn tea 500ml,https://www.yamibuy.com/en/p/woongjin-foo-roasted-corn-tea-500ml/1020019081,WOONGJIN,33,$1.79,3 Options,,,33,Korea,Korea,4.8
Classic Milk Tea Condensed Milk Flavor 500ml,https://www.yamibuy.com/en/p/master-kong-classic-milk-tea-condensed-milk-flavor-500ml/1020008991,MASTER KONG,37,$1.49,2 Options,,,37,China,China,4.6
ZhenGuoLi Yogurt Grapefruit and Four Seasons Spring Flavor 240g,https://www.yamibuy.com/en/p/zhenguoli-yogurt-grapefruit-and-four-seasons-spring-flavor-240g/1020053061,MENGNIU,95,,2 Options,$2.39,$2.99,95,Red Pomelo Four Seasons Spring Flavor,China,4.8
Sakura Grape Flavor Sparkling Water 480ml Seasonal Limited Edition,https://www.yamibuy.com/en/p/genki-forest-sakura-white-grape-flavor-sparkling-water-480ml-seasonal-limited-edition/1020039031,Genki Forest,210,$1.99,9 Options,,,210,Sakura Grape Flavor,China,4.8
Ramune Strawberry Flavor 200ml,https://www.yamibuy.com/en/p/fuji-soda-strawberry-ramune-200ml/1020038441,FUJIYA,6,,5 Options,$1.69,$1.79,6,,Japan,4.8
Green Plum Flavor Soda 335ml,https://www.yamibuy.com/en/p/kelly-one-angry-bobo-green-plum-flavor-335ml/1020055661,WAHAHA,29,$1.99,,,,Be the first!,,China,4.8
