Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3,Field4
Ansung Tang Myun Noodle Soup Beef & Fermented Bean Flavor 4packs 500g,https://www.yamibuy.com/en/p/nongshim-ansung-tang-myun-4packs-500g/1021002581,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGSHIM,56,$5.99,,,,Ansung Tang Myun Noodle Soup Beef & Fermented Bean Flavor 4packs 500g,56,Korea,Korea,4.3
Demae Ramen Noodle with Soup Base Chicken Flavor 100g,https://www.yamibuy.com/en/p/nissin-demae-ramen-noodle-with-soup-base-chicken-flavor-100g/1021002171,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,41,,$0.79,$0.99,21% OFF,Demae Ramen Noodle with Soup Base Chicken Flavor 100g,41,Japan,Japan,4.5
HongKong Style Szechwan Rice Noodle Spicy Intestines Flavor 275.5g,https://www.yamibuy.com/en/p/hongkong-style-szechwan-rice-noodle-spicy-intestines-flavor-275-5g/1021089051,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BaMan,,,$6.99,$7.49,7% OFF,HongKong Style Szechwan Rice Noodle Spicy Intestines Flavor 275.5g,1,,China,5
Noodle Dan Zai 21oz,https://www.yamibuy.com/en/p/noodle-dan-zai-21oz/1149016441,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHANFENG,,$4.99,,,,Noodle Dan Zai 21oz,Be the first!,,Taiwan,
Fresh Udon Noodle Soup 275g,https://www.yamibuy.com/en/p/fresh-udon-275g/1021087171,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGSHIM,1,$3.49,,,,Fresh Udon Noodle Soup 275g,1,,Korea,5
Raoh Ramen Noodle Salty Yuzu Soup 5pcs 465g,https://www.yamibuy.com/en/p/raoh-ramen-noodle-salty-yuzu-soup-5pcs-465g/1021086811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,13,$8.99,,,,Raoh Ramen Noodle Salty Yuzu Soup 5pcs 465g,13,,Japan,4.6
Broad Noodle Hot & Sour 114g,https://www.yamibuy.com/en/p/broad-noodle-hot-sour-114g/1021088051,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DRAGONFLY BRAND,,$2.99,,,,Broad Noodle Hot & Sour 114g,Be the first!,,China,
HongKong Style Rice Noodle Tom Yam Flavor 204g,https://www.yamibuy.com/en/p/hongkong-style-rice-noodle-tom-yam-flavor-204g/1021089071,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BaMan,,,$6.99,$7.49,7% OFF,HongKong Style Rice Noodle Tom Yam Flavor 204g,Be the first!,,China,
WANG Korean Style Starch Noodle 340g,https://www.yamibuy.com/en/p/wang-korean-style-starch-noodle-340g/1021003521,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANG FOOD,69,$3.49,,,,WANG Korean Style Starch Noodle 340g,71,Korea,Korea,4.9
Vegan Kimchi Cup Noodle 75g,https://www.yamibuy.com/en/p/nongshim-vegan-kimchi-cup-noodle-75g/1021024851,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGSHIM,19,$1.49,,,,Vegan Kimchi Cup Noodle 75g,19,United States,Korea,4.4
