Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3,Field4
Lactobacillus Chocolate Cookie 15pcs,https://www.yamibuy.com/en/p/lactobacillus-chocolate-cookie-15pcs/1016078641,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,,$2.69,,,,,Lactobacillus Chocolate Cookie 15pcs,5,Japan,GLICO,13
Money Cookies 6pk,https://www.yamibuy.com/en/p/banknote-cookies-6pk-box/1016078581,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JKC,,$35.99,,,,,Money Cookies 6pk,5,Taiwan,JKC,1
Salty Cheese Biscuit 230g,https://www.yamibuy.com/en/p/salty-cheese-biscuit-230g/1016078311,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XINAOLAI,,$3.29,,,,,Salty Cheese Biscuit 230g,5,China,XINAOLAI,6
Cheese Salt Cookie 230g,https://www.yamibuy.com/en/p/chocolate-wafer-cookie/1016078161,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MAIZHAO,,$2.99,,,,,Cheese Salt Cookie 230g,4.6,China,MAIZHAO,11
Rose With Honey Flower Cake 320g,https://www.yamibuy.com/en/p/rose-with-honey-flower-cake-320g/1016077861,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAMUZI,,$8.99,7 Options,,,,Rose With Honey Flower Cake 320g,4.6,China,HUAMUZI,28
Rose With Cheese Flower Cake 320g,https://www.yamibuy.com/en/p/rose-with-cheese-flower-cake-320g/1016077811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAMUZI,,$8.99,7 Options,,,,Rose With Cheese Flower Cake 320g,4.7,China,HUAMUZI,38
Soda Fermented Crispy Biscut Vegetable 200g,https://www.yamibuy.com/en/p/soda-fermented-crispy-biscut-vegetable-200g/1016077391,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TYS,,$3.49,,,,,Soda Fermented Crispy Biscut Vegetable 200g,,China,TYS,Be the first!
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Rose With Cheese Flower Cake 320g,https://www.yamibuy.com/en/p/rose-with-cheese-flower-cake-320g/1016077811,https://cdn.yamibuy.net/item/32d4e28778c9b8a234480c9f760b2128_684x684.webp,HUAMUZI,,$8.99,7 Options,,,,Rose With Cheese Flower Cake 320g,4.7,China,HUAMUZI,38
Soda Fermented Crispy Biscut Vegetable 200g,https://www.yamibuy.com/en/p/soda-fermented-crispy-biscut-vegetable-200g/1016077391,https://cdn.yamibuy.net/item/60422172bd66045a0d96ef79acfafa2a_684x684.webp,TYS,,$3.49,,,,,Soda Fermented Crispy Biscut Vegetable 200g,,China,TYS,Be the first!
Instant Biscuits-Sesame 53g,https://www.yamibuy.com/en/p/instant-biscuits-sesame-53g/1016077361,https://cdn.yamibuy.net/item/1ce737df08369be9020a791c166d7644_684x684.webp,YIPAOERHU,,$2.39,,,,,Instant Biscuits-Sesame 53g,,China,YIPAOERHU,Be the first!
Torte Gourmet Butter Cookies 317g,https://www.yamibuy.com/en/p/bourbon-torte-gourmet-butter-cookies-11-18oz/1016076551,https://cdn.yamibuy.net/item/bbde25f202600e5c6035ddcab224325f_684x684.webp,BOURBON,,,,$7.99,$9.99,21% OFF,Torte Gourmet Butter Cookies 317g,5,Japan,BOURBON,5
