Title,Title_link,Thumbnail,brand-title,comment-star__count,brand-variants,Price,price-valid,price-invalid,price-discount,Headline,DetailPrice,OriginalPrice,Live chat,Field1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ICE PEAK Orange Soda 330ml,https://www.yamibuy.com/en/p/ice-peak-orange-soda-330ml/1020006811,https://cdn.yamibuy.net/item/b2fe829b5aa488fdf3441cbdf5684489_684x684.webp,BING FENG,142,2 Options,$1.39,,,,ICE PEAK Orange Soda 330ml,,,Contact Us,China
Fig Silk 8g,https://www.yamibuy.com/en/p/zd-fig-silk/1019059951,https://cdn.yamibuy.net/item/752a294e02bd5552c56316a11aba585b_684x684.webp,ZD,323,,,$0.69,$0.99,31% OFF,Fig Silk 8g,$0.69,$0.99,Contact Us,China
Vietnamese Iced Coffee 240g 10pcs,https://www.yamibuy.com/en/p/ong-bau-ob-cafe-vn-ice-coffee-24g/1020059831,https://cdn.yamibuy.net/item/004a7c39cf6798abc766393836910ae8_684x684.webp,ONG BAU,62,,$3.69,,,,Vietnamese Iced Coffee 240g 10pcs,,,Contact Us,Vietnam
Genki Sparkling Water Lychee Flavor Cans 330ml,https://www.yamibuy.com/en/p/genki-sparkling-water-lychee-flavor-cans-330ml/1020059561,https://cdn.yamibuy.net/item/60e526cbad9fd7b60effeebce01d4baa_684x684.webp,Genki Forest,87,7 Options,$1.49,,,,Genki Sparkling Water Lychee Flavor Cans 330ml,,,Contact Us,China
"Classic Beijing Wheat Flour Cake, 360g",https://www.yamibuy.com/en/p/daoxiangcun-beijing-wheat-flour-cake-360g/1016030741,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,775,,,$5.79,$5.99,4% OFF,"Classic Beijing Wheat Flour Cake, 360g",$5.79,$5.99,Contact Us,China
TAIYANG Millet Crisp Hot 50g,https://www.yamibuy.com/en/p/taiyang-millet-crisp-hot-50g/1017006961,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,90,,$1.49,,,,TAIYANG Millet Crisp Hot 50g,,,Contact Us,China
Mimi Shrimp Flavored Chips 10 Packs 180g,https://www.yamibuy.com/en/p/aishang-mimi-shrimp-flavored-chips-10-packs-180g/1017007641,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,aishang,148,4 Options,$2.99,,,,Mimi Shrimp Flavored Chips 10 Packs 180g,,,Contact Us,China
"Plum Sparkling Water, 16.2 fl oz",https://www.yamibuy.com/en/p/genki-forest-sour-plum-soup-soda-sparkling-water-480ml/1020040811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Genki Forest,265,9 Options,$2.29,,,,"Plum Sparkling Water, 16.2 fl oz",,,Contact Us,China
Potato Chips Garlic Roasted Oyster Flavor 70g,https://www.yamibuy.com/en/p/potato-chips-garlic-roasted-oyster-flavor-28g/1017040721,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,15,,$2.49,,,,Potato Chips Garlic Roasted Oyster Flavor 70g,,,Contact Us,China
