Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category
"Quick Braised Tremella Soup, Fresh Stew Brewing Combo, Individual Sugar Packets, Individual Bags 78g",MR FANG'S STORE,11,10.99,4.8,Mainland China,Yami,Dessert
WUGUMOFANG Probiotics Red Been & Coix Seed Meal Coconut Flavor 400g,WUGU MOFANG,8,22.99,4.8,Mainland China,Yami,Dessert
JIXIANGJU Spicy Pickled Vegetables 66g,JI XIANG JU,18,0.79,4.3,Mainland China,Yami,Dessert
Coconut Milk Oat Congee 280g,YINLU,142,2.39,4.7,Mainland China,Yami,Dessert
Canned In Syrup (Mixed Fruit) 680g,QIANBAIWEI,10,2.99,4.8,Mainland China,Yami,Dessert
Spicy Sansi 306g,JI XIANG JU,11,3.99,4.5,Mainland China,Yami,Dessert
WFZ Red Bean Glutinous Rice Porridge 350g,wufangzhai,9,2.29,4.9,Mainland China,Yami,Dessert
Pickled Mixed Vegetable,WEIJUTE,8,1.39,5,Mainland China,Yami,Dessert
Five Spice Lotus 169g,BESTORE,13,4.39,3.5,Mainland China,Yami,Dessert
Yunnan Dried Mushroom 50g,HEXIN,4,1.59,4.8,Mainland China,Yami,Dessert
Preserved Savory Fungus Spicy Hot Flavor 280g,FSG,0,4.19,0,Mainland China,Yami,Dessert
BBQ Konjac 100g,ZHENLEYI,7,3.19,4.9,Mainland China,Yami,Dessert
Bamboo Shoot Tips w/ P. Pepper 230g,GOURMET FARM,2,3.29,3,Mainland China,Yami,Dessert
Thick Shrimp Tomato Cream Soup Instant Soup 3pcs,POKKA SAPPORO,2,4.99,4.5,Japan,Yami,Dessert
Thick Cream Mushroom Cheese Cream Soup Instant Soup 3pcs,POKKA SAPPORO,3,4.99,4,Japan,Yami,Dessert
Cheese Seafood Soup 3pcs,POKKA SAPPORO,3,4.99,4.7,Japan,Yami,Dessert
Garlic Chili Sauce 220g,Hopen,4,2.49,4.5,Mainland China,Yami,Dessert
TONGFU Red Bean And Black Rice Porridge 280g,TONGFU PORRIDGE,1,1.79,5,Mainland China,Yami,Dessert
Mixed Congee 300g,TONGFU PORRIDGE,1,1.49,4,Mainland China,Yami,Dessert
Thick Butter Chicken Soup Instant Soup 3pcs,POKKA SAPPORO,0,4.99,0,Japan,Yami,Dessert
Red Bean Coix Seed Starch 350g,LIZIQI,27,12.99,4.6,Mainland China,Yami,Dessert
HAINAN ISLAND Coconut Milk Dessert 360g No preservatives,HAINANISLAND,103,1.69,4.7,Mainland China,Yami,Dessert
Mashed Taro and Coconut Meal Replacement Shake,Healthy & Funny,20,27.99,4.8,Mainland China,Yami,Dessert
WUGUMOFANG Black Soy Milk Powder 448g,WUGU MOFANG,14,11.99,4.6,Mainland China,Yami,Dessert
Cooked Marinated Egg in Soy Sauce 6pcs,LAM SHENG KEE,41,3.99,4,Taiwan,Yami,Dessert
Longan Rice Congee 340g,CHINCHIN,49,1.29,4.6,Taiwan,Yami,Dessert
Fresh Hawthorn Bottle 425g,LJPZ,17,2.19,4.9,Mainland China,Yami,Dessert
Chinese water chestnut tremella soup 40g,BUYDEEM,9,4.79,4.8,Mainland China,Yami,Dessert
