Product_Name,Brand,Option,Price,Reviews,Origin,Rate,Platform,Category
JIU ZHEN NAN Pineapple Cake  6pcs,JIU  ZHEN NAN,No,0.00,1,Taiwan,5.0,Yami,Mochi
PAN'S CAKE Pineapple Cake 420g 12pcs,LIEN HAW FOODS,No,0.00,12,Taiwan,4.8,Yami,Mochi
Bubble Milk Tea Shortcake 420g,Kuo Yuan Ye,No,0.00,1,Taiwan,5.0,Yami,Mochi
Pineapple Cake 12pcs/540g,CHIA TE,No,0.00,43,Taiwan,4.9,Yami,Mochi
Handmade Sticky Rice Cake Matcha Taste150g,BESTORE,No,6.99,3,Mainland China,5.0,Yami,Mochi
SHIGA Red Bean Lotus 6pc,Kanou,13 Options,0.00,0,Japan,0.0,Yami,Mochi
[Mainland China Direct Mail] Wangzai QQ Meat Pad Candy Cat's Claw Candy Strawberry Yogurt Flavor Marshmallow Packet 45g,WANT WANT,No,8.90,0,Taiwan,0.0,Yami,Mochi
Pineapple Cake 10pcs/500g,SunnyHills,No,0.00,36,Taiwan,4.6,Yami,Mochi
Nougat And Grilled Puff Cranberry Flavor 120g,BESTORE,No,7.99,0,Mainland China,0.0,Yami,Mochi
Cheese Filled Puffs 60g,BESTORE,No,6.99,1,Mainland China,1.0,Yami,Mochi
DJULIS Red Quinoa Roselle Crisp 180g,DJULIS,No,0.00,6,Taiwan,4.3,Yami,Mochi
SHIGA Original Yokan 1pc,Kanou,13 Options,0.00,2,Japan,5.0,Yami,Mochi
Taitung Qi Ma Su -Brown Sugar Flavor 200g,CHING TSE,No,0.00,1,Taiwan,5.0,Yami,Mochi
JUIMEI Pineapple Cake 270g 10pcs,LIEN HAW FOODS,No,0.00,0,Taiwan,0.0,Yami,Mochi
Taro Pastry 6 pc,TACHIA MASTER,No,0.00,0,Mainland China,0.0,Yami,Mochi
【Best Before: 2022/02/21】Lava Custard Taro Pastry 270g,TACHIA MASTER,No,0.00,0,Mainland China,0.0,Yami,Mochi
100% Pure Pineapple Shortcake 420g 10pcs,Kuo Yuan Ye,No,0.00,0,Taiwan,0.0,Yami,Mochi
SHIGA Sakura Limited Gift Box A,Kanou,13 Options,0.00,0,Japan,0.0,Yami,Mochi
ZENIQUE Black Tea Pineapple Cake 320g 8pcs,LIEN HAW FOODS,No,0.00,0,Taiwan,0.0,Yami,Mochi
Cranberry Pineapple Pastry 540g 12pcs,CHIA TE,No,0.00,4,Taiwan,5.0,Yami,Mochi
Pineapple Cake 336g 12pcs,Taipei LeeChi,No,0.00,2,Taiwan,5.0,Yami,Mochi
RUYI SUNNY Pineapple Cake 450g 10pcs,LIEN HAW FOODS,No,0.00,0,Taiwan,0.0,Yami,Mochi
Mochi Boba Milk Tea Flavor 240g,YUKI&LOVE,No,4.59,9,Taiwan,4.2,Yami,Mochi
HAMOCHI Japanese Style Yam Mochi ,BAMBOO HOUSE,3 Options,1.99,103,Taiwan,4.3,Yami,Mochi
Red Bean Japanese Mochi 120g,ROYAL FAMILY,No,1.99,110,Taiwan,4.7,Yami,Mochi
Fruit Mochi -Hami Melon ,ROYAL FAMILY,2 Options,2.49,20,Taiwan,4.0,Yami,Mochi
Mochi with Sesame Filling 180g,FORMOSA YAY,5 Options,1.99,31,Taiwan,4.8,Yami,Mochi
HAMOCHI Japanese Style Matcha Mochi ,BAMBOO HOUSE,3 Options,1.99,155,Taiwan,3.9,Yami,Mochi
KOBE Caramel Pudding Chocolate Mochi 18pc,OMOCHI,No,0.00,1,Japan,5.0,Yami,Mochi
Mochi with Matcha Filling 180g,FORMOSA YAY,5 Options,1.99,12,Taiwan,4.5,Yami,Mochi
YUKI/LOVE Japan Mochi Brown Sugar ,YUKI&LOVE,6 Options,2.29,43,Taiwan,3.7,Yami,Mochi
Daifuku Mochi - Lychee ,ROYAL FAMILY,No,2.49,17,Taiwan,3.6,Yami,Mochi
HAMOCHI Japanese Style Red Bean Mochi ,BAMBOO HOUSE,3 Options,1.99,106,Taiwan,4.3,Yami,Mochi
Mochi Boba Milk Tea Flavor 180g,YUKI&LOVE,No,3.49,16,Taiwan,4.4,Yami,Mochi
Chocolate in Rice Cake Mochi 8pcs,BOURBON,No,3.59,38,Japan,4.6,Yami,Mochi
X'mas Chocolate Mochi Daifuku 170g,YAOKIN,No,5.99,2,Japan,5.0,Yami,Mochi
Bubble Milk Tea Mochi 180g,FORMOSA YAY,No,1.99,25,Taiwan,4.4,Yami,Mochi
matcha mochi 120g,ROYAL FAMILY,3 Options,2.29,7,Taiwan,4.7,Yami,Mochi
Taiwan Dessert Bubble Tea Mochi 7.4oz,ROYAL FAMILY,No,2.29,30,Taiwan,4.5,Yami,Mochi
Fruit Mochi - Mango ,ROYAL FAMILY,2 Options,2.79,19,Taiwan,4.1,Yami,Mochi
YAMAHIRE Toufu Daifuku,YAMAHIDE,No,0.00,0,Japan,0.0,Yami,Mochi
Baked Soft Cake - -Peach 200g,KUBOTA,No,4.29,19,Japan,4.1,Yami,Mochi
Baked Soft Cake - Chestnut 198g,KUBOTA,8 Options,4.29,20,Japan,3.9,Yami,Mochi
Baked Soft Cake - Green Tea 200g,KUBOTA,8 Options,4.29,7,Japan,5.0,Yami,Mochi
Baked Soft Cake 200g,KUBOTA,8 Options,4.29,9,Japan,3.6,Yami,Mochi
Baked Soft Cake  - Melon  198g,KUBOTA,8 Options,4.29,11,Japan,4.6,Yami,Mochi
Baked Soft Cake   - Strawberry 198g,KUBOTA,8 Options,4.29,8,Japan,4.1,Yami,Mochi
Baked Soft Cake - Orange 198g,KUBOTA,8 Options,4.29,8,Japan,2.6,Yami,Mochi
Baked Soft Cake Lemon 200g,KUBOTA,8 Options,4.29,12,Japan,4.2,Yami,Mochi
Mochi Peach Flavor 80g,APOJIADE,3 Options,0.00,8,Mainland China,4.6,Yami,Mochi
Caco Mochi Choco 80g,ROYAL FAMILY,6 Options,0.00,46,Taiwan,4.4,Yami,Mochi
Cacao Mochi Strawbry 80g,ROYAL FAMILY,6 Options,0.00,27,Taiwan,4.4,Yami,Mochi
Assorted Mochi Tropical Passion Fruit Mango Lychee 120g,ROYAL FAMILY,2 Options,2.29,23,Taiwan,4.3,Yami,Mochi
Mochi Blueberry Flavor 80g,APOJIADE,3 Options,1.39,2,Mainland China,5.0,Yami,Mochi
Mochi Mango Flavor 80g,APOJIADE,3 Options,0.00,1,Mainland China,5.0,Yami,Mochi
Mochi Ball Taro Milk Flavor 120g,ROYAL FAMILY,No,1.99,46,Taiwan,4.5,Yami,Mochi
YUKI/LOVE Japan Mochi Lychee 300g,YUKI&LOVE,6 Options,3.59,5,Taiwan,3.0,Yami,Mochi
Tai Mochi Red Bean Mochi With Coconut Shred ,ROYAL FAMILY,5 Options,2.29,30,Taiwan,4.3,Yami,Mochi
Mochi Grape Flavor 180g,CHAOBAIWEI,3 Options,2.69,0,Mainland China,0.0,Yami,Mochi
Tai Mochi Red Bean Mochi With Sesame ,ROYAL FAMILY,5 Options,2.29,8,Taiwan,4.6,Yami,Mochi
BAMBOO HOUSE Aiwan MixedI Flavor Mochi 300g,XIAOSHANDENGLU,No,4.29,9,Taiwan,3.9,Yami,Mochi
Taiwan Dessert Mixed Mochi 450g,ROYAL FAMILY,7 Options,4.49,36,Taiwan,4.8,Yami,Mochi
Gluten Free Mochi Cakes Red Bean ,ROYAL FAMILY,3 Options,2.49,18,Taiwan,4.7,Yami,Mochi
Mochi-Outside Red Bean Cake(Ankoro) 122g,KUBOTA,No,3.59,4,Japan,2.0,Yami,Mochi
Small Mochi Taro 300g,BEAUTIFUL GIRL,4 Options,3.59,6,Taiwan,3.3,Yami,Mochi
YUKI/LOVE Mochi Roll Taro Creamy 300g,YUKI&LOVE,5 Options,4.29,5,Taiwan,4.0,Yami,Mochi
YUKI/LOVE Mochi Roll Green Tea Creamy 300g,YUKI&LOVE,5 Options,4.29,3,Taiwan,3.7,Yami,Mochi
Kinako Mochi  7pc 49g,TIROL,No,1.99,1,Japan,5.0,Yami,Mochi
Matcha Mochi Chocolate 8pc,FUJIYA,No,3.89,34,Japan,4.5,Yami,Mochi
Tai Mochi Taro Mochi With Coconut Shred ,ROYAL FAMILY,5 Options,2.29,23,Taiwan,4.7,Yami,Mochi
Caramel Mochi  7pc 79g,TIROL,No,1.99,7,Japan,5.0,Yami,Mochi
Mochi-Outside Red Bean Cake 136g,KUBOTA,No,3.99,23,Japan,4.0,Yami,Mochi
Sakura Mochi 165g,SONGWAI,No,3.49,2,Japan,4.5,Yami,Mochi
Fruit Mochi Orange Melon Strawberry 119g,ROYAL FAMILY,2 Options,2.29,6,Taiwan,4.7,Yami,Mochi
"【2 Pack Value Set】Egg Yolk Puff with Chewy Mochi and Lotus Seed Paste ,330g",FORTUNE BAKERY,No,0.00,5,United States,5.0,Yami,Mochi
Mochi Yolk Pas 3pcs 159g,CHEN YUN PAO CHUAN,9 Options,0.00,64,Taiwan,4.5,Yami,Mochi
Traditional Style Peanut Mochi 140g,XIAOSHANDENGLU,No,1.99,11,Taiwan,4.7,Yami,Mochi
Green Tea Red Bean Milk Mochi 150g,XIAOSHANDENGLU,No,2.99,1,Taiwan,5.0,Yami,Mochi
Mochi Strawberry Flavor 180g,CHAOBAIWEI,3 Options,2.69,0,Mainland China,0.0,Yami,Mochi
Japanese Red Bean Mochi 180g,ROYAL FAMILY,No,2.29,12,Taiwan,3.5,Yami,Mochi
Strawberry Mochi Chocolate 8pc,FUJIYA,No,3.99,6,Japan,5.0,Yami,Mochi
