Product_Name,Brand,Reviews,Price,Option,Rate,Origin,Platform,Category
[Mainland China direct mail] Huaxizi silk honey powder cake 01 shallow moon thick (transparent micro pearl),FLORASIS,0,79.90,3 Options,0.0,Mainland China,Yami,Cake
Coco Milky Cookie,Yu Cake,19,12.99,No,4.8,United States,Yami,Cake
Milky Jujube Cocoa Flavor 150g,Yu Cake,49,11.99,4 Options,4.5,United States,Yami,Cake
Chewy Cubes Fig Flavor,Yu Cake,32,11.99,6 Options,4.9,United States,Yami,Cake
Chewy Cubes Oreo Flavor 180g,Yu Cake,2,12.99,No,4.5,United States,Yami,Cake
Handmade Tiger Skin Cake 110g,Ranli,555,3.59,No,4.8,Mainland China,Yami,Cake
Muffin Family Cake 255g,MARUKIN,192,6.49,No,4.8,Japan,Yami,Cake
Pineapple Cake 190g,HSUFUCHI,528,4.49,4 Options,4.8,Taiwan,Yami,Cake
Milky Jujube Cocoa Flavor 150g,Yu Cake,49,11.99,4 Options,4.5,United States,Yami,Cake
Chewy Cubes Fig Flavor,Yu Cake,32,11.99,6 Options,4.9,United States,Yami,Cake
Chewy Cubes Oreo Flavor 180g,Yu Cake,2,12.99,No,4.5,United States,Yami,Cake
Handmade Tiger Skin Cake 110g,Ranli,555,3.59,No,4.8,Mainland China,Yami,Cake
Muffin Family Cake 255g,MARUKIN,192,6.49,No,4.8,Japan,Yami,Cake
Pineapple Cake 190g,HSUFUCHI,528,4.49,4 Options,4.8,Taiwan,Yami,Cake
Royal Tamba Cake 3pcs 159g,CHEN YUN PAO CHUAN,310,6.59,9 Options,4.8,Taiwan,Yami,Cake
Classic Seaweed Sugar Cake 120g,Ranli,356,3.59,No,4.8,Mainland China,Yami,Cake
Ovaltine Flavor Cake Roll 1pc,XIANCHANG,158,2.29,No,4.5,Mainland China,Yami,Cake
Mixed Cake Gift Box 735g,Dao Xiang Cun,10,19.99,No,4.7,Mainland China,Yami,Cake
Flower Cake Rose Durian Flavor 210g,XIANGGUAN,51,3.69,4 Options,4.6,Mainland China,Yami,Cake
