Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category
Hidaka Dried Seaweed(Mehijiki)  20g,OTHER BRANDS,1.79,2,Unclear,4.0,Yami,Seaweed
Crispy Seaweed Pad Thai Flavor 32g,TAO KAE NOI,1.99,7,Thailand,3.9,Yami,Seaweed
Tempura Seaweed Wasabi Flavor 40g,Four Seas,2.89,8,Mainland China,4.2,Yami,Seaweed
Roasted & Seasoned Seaweed 80g,JAYONE,3.69,4,Unclear,4.8,Yami,Seaweed
Seaweed Crisps Cheese Flavor 30g,MAGIE POP,2.09,4,Unclear,4.8,Yami,Seaweed
Seaweed Crisps Wasabi Flavor 30g,MAGIE POP,2.09,2,Unclear,5.0,Yami,Seaweed
Seaweed Hot & Spicy Flavor 2.8g,Four Seas,0.99,9,Mainland China,4.0,Yami,Seaweed
Roadted Seaweed Yaki Nori 25g,YAMATOKU,2.59,6,Unclear,3.5,Yami,Seaweed
Seaweed Crisps Hot&Spicy Flavor 30g,MAGIE POP,2.09,3,Unclear,4.7,Yami,Seaweed
Seaweed Tempura Snack Sriracha Flavor 29g,SEA'S GIFT,3.99,2,Korea,4.0,Yami,Seaweed
Big Roll Grilled Seaweed Roll Original Flavor 9pc,TAO KAE NOI,2.99,340,Thailand,4.7,Yami,Seaweed
Dried Seaweed Knot 30g,SPRING FARM,1.99,96,Mainland China,4.8,Yami,Seaweed
Dried Seaweed Slice 30g,SPRING FARM,1.86,23,Mainland China,4.9,Yami,Seaweed
Big Roll Grilled Seaweed Roll Spicy Flavor 9pc,TAO KAE NOI,2.99,303,Thailand,4.7,Yami,Seaweed
Roasted Seaweed 5g*3bags,PALDO,1.39,54,Korea,4.9,Yami,Seaweed
"Seasoned Seaweed Dosirak Curry Flavor, 1 pack",KWANGCHEONKIM,0.59,27,Unclear,4.7,Yami,Seaweed
Salted Seaweed Slice 454g,WATSON,4.99,10,Unclear,5.0,Yami,Seaweed
USDA Organic Seaweed 10 Sheet,LITTLE JASMINE,4.49,3,Unclear,5.0,Yami,Seaweed
Stir Fried Tuna Fish Floss w. Seaweed & Sesame 200g,CHIEN JUNG FOODS,9.29,2,Unclear,5.0,Yami,Seaweed
Dried Seaweed Knot,CHANZUIBA,3.49,4,Unclear,4.5,Yami,Seaweed
